0.506;0.346
0.025;0.251
1.344;0.437
2.280;0.476
3.216;0.471
4.151;0.450
5.087;0.437
6.023;0.415
6.958;0.433
7.894;0.457
8.830;0.530
9.824;0.633
10.457;0.732
11.297;0.832
12.232;0.916
13.168;0.976
14.139;1.047
15.040;1.096
15.975;1.139
16.911;1.179
17.847;1.219
18.782;1.254
19.718;1.286
20.654;1.314
21.589;1.349
22.525;1.371
23.461;1.398
24.397;1.428
25.332;1.450
26.268;1.470
27.204;1.493
28.139;1.517
29.075;1.532
30.011;1.549
30.947;1.562
31.882;1.570
32.818;1.593
33.754;1.596
34.689;1.605
35.625;1.605
36.561;1.625
37.496;1.629
38.432;1.629
39.368;1.629
40.304;1.646
41.239;1.647
42.175;1.647
43.111;1.647
44.046;1.647
44.982;1.647
45.918;1.647
46.853;1.646
47.789;1.646
48.725;1.646
49.713;1.642
